Term Amount,Peak Memory (b)
0,16
10,6424
20,25560
30,57464
40,101384
50,157872
60,226864
70,305072
80,393912
90,492152
100,603208
110,720032
120,841376
130,978912
140,1122616
150,1254832
160,1413184
170,1560304
180,1705040
190,1893432
200,2038296
210,2197456
220,2333000
230,2496264
240,2664728
250,2845208
260,3019488
270,3177336
280,3276904
290,3459376
300,3618992
310,3799408
320,3940544
330,4095720
340,4180056
350,4411160
360,4519384
370,4707320
380,4875992
390,5030464
400,5108416
410,5194712
420,5422832
430,5518872
440,5606192
450,5800008
460,5874544
470,6099488
480,6076584
490,6326280
500,6538016
510,6701728
520,6778672
530,6962096
540,6910856
550,7283000
560,7343816
570,7429608
580,7594808
590,7575320
600,7813248
610,7846232
620,8093952
630,8135056
640,8286200
650,8614656
660,8615104
670,8919248
680,8988520
690,8854456
700,9477112
710,9390592
720,9377096
730,9703560
740,9735704
750,9831464
760,10154824
770,10334192
780,10276008
790,10746936
800,10548024
810,10750968
820,11140408
830,11196800
840,11171936
850,11704496
860,11665352
870,11747504
880,12261688
890,12253792
900,12163072
910,12316344
920,12850944
930,12869312
940,12882136
950,13572176
960,13521944
970,13524800
980,13519368
990,14206656
1000,14227264
1010,14211080
1020,14306896
1030,14960352
1040,15106176
1050,14885088
1060,15057736
1070,15796656
1080,15625688
1090,15925344
1100,15849128
1110,15865256
1120,16728592
1130,16637424
1140,16642296
1150,16852688
1160,17630040
1170,17681616
1180,17607864
1190,17588208
1200,17567152
1210,18605808
1220,18539168
1230,18547400
1240,18521976
1250,18634592
1260,19744920
1270,19626928
1280,19772752
1290,19609400
1300,19733720
1310,20800440
1320,20880800
1330,20854480
1340,20828664
1350,20894408
1360,22133912
1370,22089280
1380,22010712
1390,22067496
1400,22139680
1410,23520352
1420,23408800
1430,23366072
1440,23426216
1450,23427336
1460,23423472
1470,24913624
1480,24934176
1490,24912952
1500,24827720
1510,24995216
1520,24950304
1530,26478184
1540,26452256
1550,26386680
1560,26522984
1570,26463736
1580,26421120
1590,28146920
1600,28087560
1610,28214344
1620,28094056
1630,28140144
1640,28202920
1650,29977320
1660,29937560
1670,29973568
1680,30002632
1690,29926304
1700,30001064
1710,30030016
1720,32039176
1730,31893800
1740,31986088
1750,31924768
1760,31986872
1770,32006304
1780,32005464
1790,34013040
1800,34071784
1810,34058792
1820,34132712
1830,34090992
1840,34033256
1850,34069544
1860,36281264
1870,36397800
1880,36390688
1890,36274096
1900,36424624
1910,36305848
1920,36303832
1930,38749272
1940,38824704
1950,38826104
1960,38826160
1970,38766744
1980,38851640
1990,38832712
2000,38892464
2010,41556136
2020,41473144
2030,41496832
2040,41473536
2050,41608496
2060,41571200
2070,41513688
2080,41574168
2090,44334264
2100,44445592
2110,44442344
2120,44313712
2130,44296744
2140,44393960
2150,44455616
2160,44482160
2170,44435848
2180,47461048
2190,47614992
2200,47515816
2210,47560280
2220,47587104
2230,47559664
2240,47589568
2250,47633640
2260,50896400
2270,50867392
2280,50913144
2290,50912528
2300,50946856
2310,50912808
2320,50910232
2330,50994120
2340,50847848
2350,54604040
2360,54520208
2370,54517688
2380,54494952
2390,54569880
2400,54588192
2410,54572960
2420,54531296
2430,54578840
2440,54634168
2450,58458272
2460,58465608
2470,58533872
2480,58534208
2490,58425848
2500,58518248
2510,58485712
2520,58470424
2530,58536112
2540,58567584
2550,62768784
2560,62821032
2570,62762176
2580,62821760
2590,62787376
2600,62795384
2610,62831896
2620,62712728
2630,62850096
2640,62823104
2650,67355080
2660,67333968
2670,67430848
2680,67417016
2690,67421160
2700,67429224
2710,67395960
2720,67460248
2730,67329768
2740,67343152
2750,72371424
2760,72337824
2770,72314360
2780,72359552
2790,72368400
2800,72399032
2810,72337376
2820,72370528
2830,72393656
2840,72391080
2850,72468080
2860,77795048
2870,77750976
2880,77744760
2890,77773208
2900,77807760
2910,77772424
2920,77743864
2930,77795160
2940,77759432
2950,77799640
2960,77733840
2970,77742072
2980,83508960
2990,83662344
3000,83534272
3010,83499272
3020,83579072
3030,83542728
3040,83583888
3050,83534608
3060,83641008
3070,83493896
3080,83506104
3090,83574984
3100,89867656
3110,89895264
3120,89880088
3130,89871576
3140,89844584
3150,89865584
3160,89869280
3170,89947512
3180,89916936
3190,89884456
3200,89901312
3210,89863736
3220,96671392
3230,96612592
3240,96615728
3250,96654928
3260,96746880
3270,96633816
3280,96689704
3290,96704824
3300,96705944
3310,96652520
3320,96668312
3330,96622056
3340,96695080
3350,104064096
3360,104028536
3370,103942072
3380,103995664
3390,104017784
3400,104061464
3410,104025736
3420,104038784
3430,104068184
3440,104013192
3450,103988216
3460,104020976
3470,104062192
3480,104085544
3490,112018632
3500,112001272
3510,112019360
3520,111993600
3530,112018240
3540,112036384
3550,112064776
3560,111953672
3570,111983352
3580,112045120
3590,112046240
3600,112023784
3610,112009112
3620,112012696
3630,120554328
3640,120621696
3650,120617776
3660,120602768
3670,120590616
3680,120621696
3690,120562784
3700,120604616
3710,120652048
3720,120616264
3730,120639616
3740,120659048
3750,120635248
3760,120647120
3770,129876536
3780,129891488
3790,129949952
3800,129879560
3810,129952528
3820,129975432
3830,129898040
3840,129953648
3850,129894680
3860,129930576
3870,129962496
3880,129968376
3890,129893280
3900,129914280
3910,129969944
3920,140007176
3930,139990432
3940,140025880
3950,139946584
3960,139987016
3970,140005328
3980,140031032
3990,140036016
4000,139972288
4010,139973184
4020,140035008
4030,140011992
4040,140012720
4050,140037192
4060,139991384
4070,139996760
4080,150869008
4090,150923440
4100,150838488
4110,150890792
4120,150876400
4130,150884352
4140,150921592
4150,150921088
4160,150916832
4170,150903280
4180,150919632
4190,150855736
4200,150957096
4210,150940912
4220,150937832
4230,150945896
4240,162698288
4250,162643800
4260,162649624
4270,162667656
4280,162738104
4290,162697392
4300,162648336
4310,162696048
4320,162662336
4330,162734856
4340,162656232
4350,162696944
4360,162712400
4370,162723040
4380,162691456
4390,162685016
4400,162728360
4410,175446528
4420,175418304
4430,175468032
4440,175433984
4450,175438744
4460,175445800
4470,175443896
4480,175476264
4490,175431408
4500,175469880
4510,175459800
4520,175458680
4530,175453976
4540,175435832
4550,175471560
4560,175442832
4570,175431520
4580,175434712
4590,189241880
4600,189225584
4610,189229952
4620,189219480
4630,189250672
4640,189179720
4650,189265288
4660,189280184
4670,189273184
4680,189234096
4690,189257280
4700,189237624
4710,189225304
4720,189216568
4730,189245856
4740,189211920
4750,189269096
4760,189183304
4770,204142928
4780,204137776
4790,204152616
4800,204163592
4810,204118232
4820,204112352
4830,204103560
4840,204164488
4850,204145840
4860,204153400
4870,204186944
4880,204183080
4890,204138840
4900,204129152
4910,204160232
4920,204143992
4930,204172552
4940,204148136
4950,204167568
4960,204174232
4970,220293984
4980,220300368
4990,220241120
